channel,x,y,z,theta,radius,sph_theta,sph_phi,sph_radius
C3,4.4e-17,0.719,0.695,-90.0,0.256,90.0,44.0,1.0
C4,4.4e-17,-0.719,0.695,90.0,0.256,-90.0,44.0,1.0
CP1,-0.375,0.375,0.848,-135.0,0.178,135.0,58.0,1.0
CP2,-0.375,-0.375,0.848,135.0,0.178,-135.0,58.0,1.0
CP5,-0.339,0.883,0.326,-111.0,0.394,111.0,19.0,1.0
CP6,-0.339,-0.883,0.326,111.0,0.394,-111.0,19.0,1.0
Cz,3.75e-33,-6.12e-17,1.0,90.0,0.0,-90.0,90.0,1.0
F3,0.673,0.545,0.5,-39.0,0.333,39.0,30.0,1.0
F4,0.673,-0.545,0.5,39.0,0.333,-39.0,30.0,1.0
F7,0.587,0.809,-0.0349,-54.0,0.511,54.0,-2.0,1.0
F8,0.587,-0.809,-0.0349,54.0,0.511,-54.0,-2.0,1.0
FC1,0.375,0.375,0.848,-45.0,0.178,45.0,58.0,1.0
FC2,0.375,-0.375,0.848,45.0,0.178,-45.0,58.0,1.0
FC5,0.339,0.883,0.326,-69.0,0.394,69.0,19.0,1.0
FC6,0.339,-0.883,0.326,69.0,0.394,-69.0,19.0,1.0
Fp1,0.95,0.309,-0.0349,-18.0,0.511,18.0,-2.0,1.0
Fp2,0.95,-0.309,-0.0349,18.0,0.511,-18.0,-2.0,1.0
Fz,0.719,0.0,0.695,0.0,0.256,0.0,44.0,1.0
O1,-0.95,0.309,-0.0349,-162.0,0.511,162.0,-2.0,1.0
O2,-0.95,-0.309,-0.0349,162.0,0.511,-162.0,-2.0,1.0
Oz,-0.999,-1.22e-16,-0.0349,180.0,0.511,-180.0,-2.0,1.0
P3,-0.673,0.545,0.5,-141.0,0.333,141.0,30.0,1.0
P4,-0.673,-0.545,0.5,141.0,0.333,-141.0,30.0,1.0
P7,-0.587,0.809,-0.0349,-126.0,0.511,126.0,-2.0,1.0
P8,-0.587,-0.809,-0.0349,126.0,0.511,-126.0,-2.0,1.0
PO10,-0.733,-0.533,-0.423,144.0,0.639,-144.0,-25.0,1.0
PO9,-0.733,0.533,-0.423,-144.0,0.639,144.0,-25.0,1.0
Pz,-0.719,-8.81e-17,0.695,180.0,0.256,-180.0,44.0,1.0
T7,6.12e-17,0.999,-0.0349,-90.0,0.511,90.0,-2.0,1.0
T8,6.12e-17,-0.999,-0.0349,90.0,0.511,-90.0,-2.0,1.0
